inspec_ym,inspec_loc,pH,water02,SS,water04,water05,DO,TP,대장균총,분원성대장균,수온,EC,water12,water13,water14,water15,water16,water17,water18,water19,TN,water21,water22,water23,water24,water25,water26,water27,area_CODE,area_NAME,river_CODE,river_NAME,loc_NAME,loc_ADDR,year,month,river_name,track,ecoli_label_raw,label_A,label_B
199211,206,7.1,89.0,33.4,,63.2,2.9,1.073,2700000.0,,15.0,,0.0,,,,,,,,,,8.932,,,,,,2,중부산,3,동천,동천1,광무교,1992,11,동천,B,2700000.0,1,1
199211,207,7.2,93.1,36.7,,68.8,2.4,1.225,1700000.0,,14.0,,0.0,,,,,,,,,,9.105,,,,,,2,중부산,3,동천,동천2,범4호교,1992,11,동천,B,1700000.0,1,1
199211,208,7.1,56.5,27.9,,47.8,1.2,1.065,3200000.0,,15.0,,0.0,,,,,,,,,,8.412,,,,,,2,중부산,3,동천,동천3,범일교,1992,11,동천,B,3200000.0,1,1
199211,215,7.5,55.5,26.5,,26.3,5.5,1.223,1700000.0,,13.0,,0.0,,,,,,,,,,7.695,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,11,온천천,A,1700000.0,1,0
199211,216,7.3,69.8,32.6,,58.1,1.6,1.265,1100000.0,,15.0,,0.0,,,,,,,,,,9.105,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,11,온천천,A,1100000.0,1,1
199212,206,7.1,76.7,36.7,,53.8,7.2,1.093,2600000.0,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.519,,,0.6,,,2,중부산,3,동천,동천1,광무교,1992,12,동천,B,2600000.0,1,0
199212,207,7.0,89.0,42.8,,55.5,5.2,1.148,3400000.0,,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.092,,,0.6,,,2,중부산,3,동천,동천2,범4호교,1992,12,동천,B,3400000.0,1,0
199212,208,7.2,61.6,28.5,,37.4,3.6,1.05,4300000.0,,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.113,,,0.7,,,2,중부산,3,동천,동천3,범일교,1992,12,동천,B,4300000.0,1,0
199212,215,7.4,46.8,27.2,,34.2,8.5,1.123,2100000.0,,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.213,,,0.6,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,12,온천천,A,2100000.0,1,0
199212,216,7.2,63.6,37.5,,54.8,4.5,1.247,1700000.0,,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.138,,,0.5,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,12,온천천,A,1700000.0,1,0
199301,206,7.1,114.7,39.0,,71.2,8.3,1.333,1400000.0,,8.0,,0.0,,,,,,,,,,17.766,,,,,,2,중부산,3,동천,동천1,광무교,1993,1,동천,B,1400000.0,1,0
199301,207,7.1,65.0,38.8,,65.0,7.4,1.159,1300000.0,,8.0,,0.0,,,,,,,,,,11.038,,,,,,2,중부산,3,동천,동천2,범4호교,1993,1,동천,B,1300000.0,1,0
199301,208,7.3,49.7,38.3,,45.0,6.5,1.376,2100000.0,,8.0,,0.0,,,,,,,,,,15.044,,,,,,2,중부산,3,동천,동천3,범일교,1993,1,동천,B,2100000.0,1,0
199301,215,7.2,43.6,23.5,,36.2,8.2,1.621,460000.0,,8.0,,0.0,,,,,,,,,,9.752,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,1,온천천,A,460000.0,1,0
199301,216,7.2,61.7,31.8,,48.7,5.0,1.758,630000.0,,9.0,,0.0,,,,,,,,,,11.794,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,1,온천천,A,630000.0,1,0
199302,206,7.4,70.2,45.6,,67.4,6.3,0.97,11000000.0,,10.0,,0.0,,,,,,,,,,12.125,,,,,,2,중부산,3,동천,동천1,광무교,1993,2,동천,B,11000000.0,1,0
199302,207,7.4,77.6,44.4,,70.6,5.5,1.78,9400000.0,,10.0,,0.0,,,,,,,,,,13.805,,,,,,2,중부산,3,동천,동천2,범4호교,1993,2,동천,B,9400000.0,1,0
199302,208,7.4,64.1,40.2,,43.6,4.0,1.647,14000000.0,,10.0,,0.0,,,,,,,,,,14.453,,,,,,2,중부산,3,동천,동천3,범일교,1993,2,동천,B,14000000.0,1,0
199302,215,7.3,47.5,40.7,,37.5,6.7,1.126,7000000.0,,15.0,,0.0,,,,,,,,,,13.056,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,2,온천천,A,7000000.0,1,0
199302,216,7.4,63.4,46.6,,50.2,2.2,2.359,2700000.0,,12.0,,0.0,,,,,,,,,,12.374,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,2,온천천,A,2700000.0,1,1
199303,206,8.4,66.8,36.7,,80.1,6.4,2.671,9400000.0,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14.264,,,0.6,,,2,중부산,3,동천,동천1,광무교,1993,3,동천,B,9400000.0,1,0
199303,207,8.0,62.1,39.4,,92.4,5.9,2.684,7000000.0,,12.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,11.975,,,0.7,,,2,중부산,3,동천,동천2,범4호교,1993,3,동천,B,7000000.0,1,0
199303,208,8.8,77.7,30.1,,57.2,4.8,2.058,12000000.0,,12.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,14.035,,,1.0,,,2,중부산,3,동천,동천3,범일교,1993,3,동천,B,12000000.0,1,0
199303,215,7.0,49.1,32.5,,43.4,6.9,2.661,4000000.0,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.476,,,0.8,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,3,온천천,A,4000000.0,1,0
199303,216,7.0,58.7,30.8,,47.3,2.0,1.236,1100000.0,,12.0,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,,15.155,,,0.5,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,3,온천천,A,1100000.0,1,1
199304,206,7.1,61.2,27.7,,56.6,2.4,1.654,9400000.0,,15.0,,0.0,,,,,,,,,,18.274,,,,,,2,중부산,3,동천,동천1,광무교,1993,4,동천,B,9400000.0,1,1
199304,207,7.1,65.3,27.7,,48.3,2.3,1.775,11000000.0,,15.0,,0.0,,,,,,,,,,12.719,,,,,,2,중부산,3,동천,동천2,범4호교,1993,4,동천,B,11000000.0,1,1
199304,208,7.1,61.2,32.4,,69.7,0.8,1.806,2600000.0,,16.0,,0.0,,,,,,,,,,13.552,,,,,,2,중부산,3,동천,동천3,범일교,1993,4,동천,B,2600000.0,1,1
199304,215,7.2,55.1,28.6,,39.8,4.7,2.675,5800000.0,,17.0,,0.0,,,,,,,,,,14.922,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,4,온천천,A,5800000.0,1,0
199304,216,7.3,55.1,27.2,,35.8,1.1,2.16,7000000.0,,17.0,,0.0,,,,,,,,,,20.689,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,4,온천천,A,7000000.0,1,1
199305,206,7.2,32.8,19.6,,43.5,2.8,0.132,3100000.0,,20.0,,0.0,,,,,,,,,,11.633,,,,,,2,중부산,3,동천,동천1,광무교,1993,5,동천,B,3100000.0,1,1
199305,207,7.5,38.0,11.0,,37.3,0.8,0.423,3500000.0,,20.0,,0.0,,,,,,,,,,13.614,,,,,,2,중부산,3,동천,동천2,범4호교,1993,5,동천,B,3500000.0,1,1
199305,208,7.2,36.9,21.1,,68.3,0.6,0.444,6500000.0,,20.0,,0.0,,,,,,,,,,14.211,,,,,,2,중부산,3,동천,동천3,범일교,1993,5,동천,B,6500000.0,1,1
199305,215,7.3,21.9,19.0,,18.4,4.0,0.441,400000.0,,22.0,,0.0,,,,,,,,,,13.048,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,5,온천천,A,400000.0,1,0
199305,216,7.1,29.7,21.8,,25.3,0.7,0.664,1500000.0,,21.0,,0.0,,,,,,,,,,14.337,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,5,온천천,A,1500000.0,1,1
199306,206,7.3,25.3,20.9,,29.0,2.2,1.154,170000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.028,,,0.9,,,2,중부산,3,동천,동천1,광무교,1993,6,동천,B,170000.0,1,1
199306,207,7.3,32.1,19.2,,27.2,0.7,1.045,270000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.509,,,1.2,,,2,중부산,3,동천,동천2,범4호교,1993,6,동천,B,270000.0,1,1
199306,208,7.4,34.9,21.8,,25.3,0.3,1.283,4400000.0,,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.846,,,1.4,,,2,중부산,3,동천,동천3,범일교,1993,6,동천,B,4400000.0,1,1
199306,215,6.8,17.4,12.2,,13.2,6.5,0.769,430000.0,,21.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.278,,,0.3,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,6,온천천,A,430000.0,1,0
199306,216,7.1,21.2,18.4,,21.7,1.5,1.049,21000.0,,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.606,,,0.4,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,6,온천천,A,21000.0,1,1
199307,206,7.5,22.2,14.3,,22.3,2.7,1.154,760000.0,,21.0,,0.0,,,,,,,,,,12.113,,,,,,2,중부산,3,동천,동천1,광무교,1993,7,동천,B,760000.0,1,1
199307,207,7.4,28.2,13.5,,19.1,1.5,1.228,630000.0,,22.0,,0.0,,,,,,,,,,11.184,,,,,,2,중부산,3,동천,동천2,범4호교,1993,7,동천,B,630000.0,1,1
199307,208,7.3,30.3,16.8,,29.8,0.4,1.547,2000000.0,,22.0,,0.0,,,,,,,,,,14.868,,,,,,2,중부산,3,동천,동천3,범일교,1993,7,동천,B,2000000.0,1,1
199307,215,7.2,20.9,17.9,,20.0,4.8,1.202,460000.0,,22.0,,0.0,,,,,,,,,,12.02,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,7,온천천,A,460000.0,1,0
199307,216,7.4,18.5,14.3,,14.6,1.1,1.547,940000.0,,22.0,,0.0,,,,,,,,,,10.998,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,7,온천천,A,940000.0,1,1
199308,206,7.0,30.3,28.6,,55.2,5.0,1.601,1700000.0,,22.0,,0.0,,,,,,,,,,9.913,,,,,,2,중부산,3,동천,동천1,광무교,1993,8,동천,B,1700000.0,1,0
199308,207,7.0,24.6,26.5,,19.7,4.0,1.5,9400000.0,,23.0,,0.0,,,,,,,,,,10.584,,,,,,2,중부산,3,동천,동천2,범4호교,1993,8,동천,B,9400000.0,1,0
199308,208,6.8,30.0,21.1,,21.8,1.3,1.563,4100000.0,,24.0,,0.0,,,,,,,,,,11.728,,,,,,2,중부산,3,동천,동천3,범일교,1993,8,동천,B,4100000.0,1,1
199308,215,6.9,29.7,19.7,,21.8,7.2,1.09,4900000.0,,22.0,,0.0,,,,,,,,,,6.493,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,8,온천천,A,4900000.0,1,0
199308,216,6.8,22.6,17.7,,23.0,2.7,1.163,2100000.0,,23.0,,0.0,,,,,,,,,,9.522,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,8,온천천,A,2100000.0,1,1
199309,206,7.1,44.5,21.1,,43.2,1.7,1.212,4300000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,15.496,,,0.7,,,2,중부산,3,동천,동천1,광무교,1993,9,동천,B,4300000.0,1,1
199309,207,7.0,49.2,19.0,,28.1,0.7,1.396,11000000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,,,,17.628,,,1.1,,,2,중부산,3,동천,동천2,범4호교,1993,9,동천,B,11000000.0,1,1
199309,208,7.1,53.3,20.4,,24.1,0.5,1.442,7900000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,,,,18.413,,,1.2,,,2,중부산,3,동천,동천3,범일교,1993,9,동천,B,7900000.0,1,1
199309,215,7.0,37.6,25.2,,34.4,3.5,2.083,6300000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,19.467,,,1.0,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,9,온천천,A,6300000.0,1,0
199309,216,7.1,51.3,21.1,,38.1,0.4,2.021,2600000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,,,,21.385,,,0.7,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,9,온천천,A,2600000.0,1,1
199310,206,7.1,54.7,26.1,,91.5,2.2,0.895,2100000.0,,19.0,,0.0,,,,,,,,,,22.648,,,,,,2,중부산,3,동천,동천1,광무교,1993,10,동천,B,2100000.0,1,1
199310,207,7.0,52.7,26.1,,62.2,2.1,1.214,14000000.0,,18.0,,0.0,,,,,,,,,,23.264,,,,,,2,중부산,3,동천,동천2,범4호교,1993,10,동천,B,14000000.0,1,1
199310,208,7.0,52.7,30.7,,29.7,0.6,1.0,3900000.0,,19.0,,0.0,,,,,,,,,,25.691,,,,,,2,중부산,3,동천,동천3,범일교,1993,10,동천,B,3900000.0,1,1
199310,215,7.1,54.7,32.1,,48.6,4.8,1.604,940000.0,,19.0,,0.0,,,,,,,,,,23.188,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,10,온천천,A,940000.0,1,0
199310,216,7.1,53.3,28.1,,68.2,0.9,1.354,7000000.0,,19.0,,0.0,,,,,,,,,,27.502,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,10,온천천,A,7000000.0,1,1
199311,206,7.0,39.0,20.0,,44.5,2.5,0.738,410000.0,,17.0,,0.0,,,,,,,,,,13.832,,,,,,2,중부산,3,동천,동천1,광무교,1993,11,동천,B,410000.0,1,1
199311,207,7.0,48.6,24.0,,30.9,1.3,0.694,130000.0,,18.0,,0.0,,,,,,,,,,13.213,,,,,,2,중부산,3,동천,동천2,범4호교,1993,11,동천,B,130000.0,1,1
199311,208,6.9,54.7,25.1,,45.0,0.7,0.93,2100000.0,,18.0,,0.0,,,,,,,,,,16.51,,,,,,2,중부산,3,동천,동천3,범일교,1993,11,동천,B,2100000.0,1,1
199311,215,7.1,41.0,22.0,,19.4,3.6,1.199,120000.0,,20.0,,0.0,,,,,,,,,,12.144,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,11,온천천,A,120000.0,1,0
199311,216,6.8,43.1,23.1,,20.7,0.7,0.927,630000.0,,18.0,,0.0,,,,,,,,,,13.421,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,11,온천천,A,630000.0,1,1
199312,206,7.2,62.2,29.4,,49.6,8.2,1.123,700000.0,,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15.597,,,1.9,,,2,중부산,3,동천,동천1,광무교,1993,12,동천,B,700000.0,1,0
199312,207,7.2,62.9,30.7,,47.2,7.4,1.134,1300000.0,,9.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,16.271,,,1.6,,,2,중부산,3,동천,동천2,범4호교,1993,12,동천,B,1300000.0,1,0
199312,208,7.1,79.3,33.4,,76.3,6.2,1.328,2600000.0,,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.707,,,1.2,,,2,중부산,3,동천,동천3,범일교,1993,12,동천,B,2600000.0,1,0
199312,215,6.9,54.7,29.4,,41.8,7.2,1.185,940000.0,,10.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,17.692,,,1.1,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1993,12,온천천,A,940000.0,1,0
199312,216,7.0,49.9,28.1,,29.8,4.3,0.415,2600000.0,,10.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,44.398,,,1.2,,,1,수영강,29,온천천,온천천2(연안교),연안교,1993,12,온천천,A,2600000.0,1,0
199401,206,7.4,90.3,53.1,,84.0,7.1,1.237,490000.0,,9.0,,0.0,,,,,,,,,,17.292,,,,,,2,중부산,3,동천,동천1,광무교,1994,1,동천,B,490000.0,1,0
199401,207,7.3,84.8,41.1,,76.5,5.8,1.229,460000.0,,10.0,,0.0,,,,,,,,,,19.652,,,,,,2,중부산,3,동천,동천2,범4호교,1994,1,동천,B,460000.0,1,0
199401,208,7.1,76.6,32.1,,87.5,3.2,1.287,2300000.0,,10.0,,0.0,,,,,,,,,,21.448,,,,,,2,중부산,3,동천,동천3,범일교,1994,1,동천,B,2300000.0,1,0
199401,215,7.2,86.2,53.1,,56.0,7.5,1.526,1800000.0,,10.0,,0.0,,,,,,,,,,20.943,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1994,1,온천천,A,1800000.0,1,0
199401,216,7.3,64.3,39.1,,110.0,3.2,1.412,700000.0,,9.0,,0.0,,,,,,,,,,24.548,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1994,1,온천천,A,700000.0,1,0
199402,206,7.6,98.5,35.7,,82.0,7.3,0.754,120000.0,,8.0,,0.0,,,,,,,,,,21.549,,,,,,2,중부산,3,동천,동천1,광무교,1994,2,동천,B,120000.0,1,0
199402,207,7.5,78.0,36.7,,80.5,7.2,0.561,230000.0,,8.0,,0.0,,,,,,,,,,18.083,,,,,,2,중부산,3,동천,동천2,범4호교,1994,2,동천,B,230000.0,1,0
199402,208,7.0,35.9,25.5,,85.5,7.0,0.248,1100000.0,,7.0,,0.0,,,,,,,,,,12.049,,,,,,2,중부산,3,동천,동천3,범일교,1994,2,동천,B,1100000.0,1,0
199402,215,7.3,90.3,40.8,,58.0,6.6,0.688,460000.0,,12.0,,0.0,,,,,,,,,,18.619,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1994,2,온천천,A,460000.0,1,0
199402,216,7.3,91.6,45.9,,108.7,3.3,0.68,310000.0,,12.0,,0.0,,,,,,,,,,19.023,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1994,2,온천천,A,310000.0,1,0
199403,206,7.5,90.3,46.2,,89.9,5.5,1.128,1400000.0,,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21.979,,,1.3,,,2,중부산,3,동천,동천1,광무교,1994,3,동천,B,1400000.0,1,0
199403,207,7.6,94.4,49.0,,81.3,4.1,1.125,2300000.0,,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,27.966,,,1.3,,,2,중부산,3,동천,동천2,범4호교,1994,3,동천,B,2300000.0,1,0
199403,208,6.8,44.1,42.2,,69.7,3.9,0.978,4600000.0,,9.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.072,,,0.7,,,2,중부산,3,동천,동천3,범일교,1994,3,동천,B,4600000.0,1,0
199403,215,7.4,94.4,40.8,,80.9,6.0,1.133,1700000.0,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18.428,,,0.9,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1994,3,온천천,A,1700000.0,1,0
199403,216,7.4,112.8,46.2,,81.0,2.1,1.166,1500000.0,,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.739,,,1.2,,,1,수영강,29,온천천,온천천2(연안교),연안교,1994,3,온천천,A,1500000.0,1,1
199404,206,7.5,106.7,46.9,,49.9,2.4,1.246,3300000.0,,17.0,,0.0,,,,,,,,,,24.388,,,,,,2,중부산,3,동천,동천1,광무교,1994,4,동천,B,3300000.0,1,1
199404,207,7.5,73.9,30.6,,31.2,1.1,1.183,1800000.0,,18.0,,0.0,,,,,,,,,,22.118,,,,,,2,중부산,3,동천,동천2,범4호교,1994,4,동천,B,1800000.0,1,1
199404,208,7.5,29.7,25.5,,15.6,0.7,0.515,3500000.0,,17.0,,0.0,,,,,,,,,,14.076,,,,,,2,중부산,3,동천,동천3,범일교,1994,4,동천,B,3500000.0,1,1
199201,206,7.5,102.6,57.1,,31.1,6.7,0.838,39000000.0,,10.0,,0.0,,,,,,,,,,9.668,,,,,,2,중부산,3,동천,동천1,광무교,1992,1,동천,B,39000000.0,1,0
199201,207,7.7,127.2,67.9,,78.0,6.1,1.025,40000000.0,,10.0,,0.0,,,,,,,,,,10.878,,,,,,2,중부산,3,동천,동천2,범4호교,1992,1,동천,B,40000000.0,1,0
199201,208,7.6,90.3,47.9,,37.0,5.2,1.095,84000000.0,,10.0,,0.0,,,,,,,,,,10.036,,,,,,2,중부산,3,동천,동천3,범일교,1992,1,동천,B,84000000.0,1,0
199201,215,7.3,109.4,47.9,,38.1,8.5,1.382,22000000.0,,9.0,,0.0,,,,,,,,,,12.496,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,1,온천천,A,22000000.0,1,0
199201,216,7.2,118.0,58.4,,28.3,3.0,1.182,17000000.0,,11.0,,0.0,,,,,,,,,,11.158,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,1,온천천,A,17000000.0,1,0
199202,206,7.7,112.8,43.1,,65.0,5.8,0.966,3400000.0,,11.0,,0.0,,,,,,,,,,9.277,,,,,,2,중부산,3,동천,동천1,광무교,1992,2,동천,B,3400000.0,1,0
199202,207,7.3,131.3,50.1,,73.8,5.6,0.87,3900000.0,,11.0,,0.0,,,,,,,,,,10.683,,,,,,2,중부산,3,동천,동천2,범4호교,1992,2,동천,B,3900000.0,1,0
199202,208,7.5,59.5,36.1,,60.6,3.4,1.245,33000000.0,,11.0,,0.0,,,,,,,,,,9.261,,,,,,2,중부산,3,동천,동천3,범일교,1992,2,동천,B,33000000.0,1,0
199202,215,7.3,106.7,52.1,,40.9,7.3,1.934,17000000.0,,11.0,,0.0,,,,,,,,,,11.164,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,2,온천천,A,17000000.0,1,0
199202,216,7.4,213.4,49.4,,63.4,2.4,1.385,27000000.0,,12.0,,0.0,,,,,,,,,,10.369,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,2,온천천,A,27000000.0,1,1
199203,206,7.6,82.1,29.7,,63.8,3.9,0.728,40000000.0,,13.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,6.574,,,0.8,,,2,중부산,3,동천,동천1,광무교,1992,3,동천,B,40000000.0,1,0
199203,207,7.5,113.2,46.1,,62.1,3.7,0.741,84000000.0,,13.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,7.008,,,0.8,,,2,중부산,3,동천,동천2,범4호교,1992,3,동천,B,84000000.0,1,0
199203,208,7.4,101.2,31.4,,89.6,2.8,1.398,48000000.0,,13.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,7.628,,,0.8,,,2,중부산,3,동천,동천3,범일교,1992,3,동천,B,48000000.0,1,1
199203,215,7.4,67.7,21.8,,44.0,6.8,1.538,33000000.0,,13.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,11.025,,,0.9,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,3,온천천,A,33000000.0,1,0
199203,216,7.5,180.5,57.4,,41.6,2.3,1.363,39000000.0,,13.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,9.011,,,0.7,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,3,온천천,A,39000000.0,1,1
199204,207,7.9,123.1,49.1,,67.5,3.6,0.704,16000000.0,,15.0,,0.0,,,,,,,,,,6.74,,,,,,2,중부산,3,동천,동천2,범4호교,1992,4,동천,B,16000000.0,1,0
199204,208,7.1,80.0,47.1,,63.5,2.6,0.717,5000000.0,,15.0,,0.0,,,,,,,,,,6.475,,,,,,2,중부산,3,동천,동천3,범일교,1992,4,동천,B,5000000.0,1,1
199204,215,7.0,61.6,26.1,,26.5,6.5,1.419,3700000.0,,15.0,,0.0,,,,,,,,,,7.58,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,4,온천천,A,3700000.0,1,0
199204,216,7.3,174.4,60.1,,55.5,1.5,1.229,17000000.0,,16.0,,0.0,,,,,,,,,,8.221,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,4,온천천,A,17000000.0,1,1
199205,207,7.0,123.1,31.6,,48.0,0.6,1.005,21000000.0,,21.0,,0.0,,,,,,,,,,7.403,,,,,,2,중부산,3,동천,동천2,범4호교,1992,5,동천,B,21000000.0,1,1
199205,208,7.4,97.1,33.6,,54.0,0.3,1.011,25000000.0,,22.0,,0.0,,,,,,,,,,7.271,,,,,,2,중부산,3,동천,동천3,범일교,1992,5,동천,B,25000000.0,1,1
199205,215,7.1,67.7,20.4,,18.7,3.7,1.398,32000000.0,,23.0,,0.0,,,,,,,,,,8.773,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,5,온천천,A,32000000.0,1,0
199205,216,7.2,149.5,40.8,,35.0,0.3,1.397,27000000.0,,23.0,,0.0,,,,,,,,,,8.884,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,5,온천천,A,27000000.0,1,1
199206,206,7.1,98.0,30.2,,58.0,0.5,0.66,94000000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,,,,6.598,,,0.5,,,2,중부산,3,동천,동천1,광무교,1992,6,동천,B,94000000.0,1,1
199206,207,7.1,114.3,31.6,,55.0,0.4,0.996,34000000.0,,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.288,,,0.5,,,2,중부산,3,동천,동천2,범4호교,1992,6,동천,B,34000000.0,1,1
199206,208,7.2,89.8,32.1,,72.0,0.4,0.999,40000000.0,,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7.137,,,0.5,,,2,중부산,3,동천,동천3,범일교,1992,6,동천,B,40000000.0,1,1
199206,215,7.1,53.1,21.9,,42.0,4.4,0.986,70000000.0,,27.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.582,,,0.7,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,6,온천천,A,70000000.0,1,0
199206,216,7.1,148.7,34.6,,38.0,0.4,1.25,58000000.0,,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.647,,,0.5,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,6,온천천,A,58000000.0,1,1
199207,207,7.2,72.5,31.2,,72.6,0.2,1.243,27000000.0,,26.0,,0.0,,,,,,,,,,7.592,,,,,,2,중부산,3,동천,동천2,범4호교,1992,7,동천,B,27000000.0,1,1
199207,208,7.2,71.2,28.4,,52.1,0.2,1.912,46000000.0,,27.0,,0.0,,,,,,,,,,7.822,,,,,,2,중부산,3,동천,동천3,범일교,1992,7,동천,B,46000000.0,1,1
199207,215,7.2,45.2,22.4,,31.3,3.0,3.309,63000000.0,,29.0,,0.0,,,,,,,,,,13.036,,,,,,1,수영강,29,온천천,온천천1(태광산업),태광산업 앞,1992,7,온천천,A,63000000.0,1,0
199207,216,7.3,83.1,31.6,,29.6,0.2,1.966,39000000.0,,29.0,,0.0,,,,,,,,,,10.414,,,,,,1,수영강,29,온천천,온천천2(연안교),연안교,1992,7,온천천,A,39000000.0,1,1
199208,206,6.8,96.6,33.4,,58.2,2.7,0.638,17000000.0,,24.0,,0.0,,,,,,,,,,6.57,,,,,,2,중부산,3,동천,동천1,광무교,1992,8,동천,B,17000000.0,1,1
